timestamp,open,high,low,close,volume
2020-01-06,7359.4,8473.0,7347.9,8180.0,67676.92
2020-01-13,8179.9,9193.5,8056.4,8700.0,713112.84
2020-01-20,8697.5,8812.3,8240.0,8614.9,166670.26
2020-01-27,8616.7,9588.0,8572.9,9342.4,204240.7
2020-02-03,9342.7,10188.0,9110.0,10168.1,150862.34
2020-02-10,10168.1,10544.9,9640.0,9917.0,180709.9
2020-02-17,9916.1,10276.0,9275.0,9932.7,131157.65
2020-02-24,9932.7,9991.0,8415.0,8530.5,158025.29
2020-03-02,8530.6,9193.2,7996.0,8033.9,135731.63
2020-03-09,8034.0,8178.0,3728.8,5362.6,1849967.77
2020-03-16,5361.8,6937.2,4427.1,5816.5,539989.32
2020-03-23,5815.5,6955.0,5690.0,5879.9,416390.97
2020-03-30,5879.1,7270.8,5851.0,6773.0,306983.28
2020-04-06,6772.0,7455.6,6739.0,6902.7,301857.52
2020-04-13,6902.7,7298.0,6465.0,7118.3,362510.88
2020-04-20,7118.4,7800.0,6755.0,7692.8,322553.72
2020-04-27,7692.8,9470.0,7615.0,8897.5,418972.11
2020-05-04,8897.2,10094.0,8059.0,8722.0,499330.83
2020-05-11,8722.8,9951.0,8180.0,9678.6,406882.11
2020-05-18,9678.6,9963.0,8650.1,8716.7,321218.24
2020-05-25,8717.4,9777.0,8622.0,9450.0,313183.95
2020-06-01,9450.0,10400.0,9265.1,9745.5,333384.59
2020-06-08,9745.5,10010.0,9044.2,9343.8,254591.38
2020-06-15,9343.7,9593.4,8900.1,9295.2,257943.95
2020-06-22,9295.2,9800.0,8826.0,9121.4,301588.8
2020-06-29,9119.5,9292.0,8907.0,9070.3,193527.27
2020-07-06,9070.4,9478.0,9058.5,9297.1,228249.04
2020-07-13,9297.8,9340.0,9051.1,9200.7,153964.28
2020-07-20,9201.0,10233.1,9135.0,9932.0,237002.8
2020-07-27,9932.1,12144.1,9926.8,11069.4,546914.99
2020-08-03,11073.6,11911.0,10930.2,11676.6,262806.69
2020-08-10,11676.6,12078.0,11119.6,11910.0,289409.95
2020-08-17,11910.0,12476.6,11386.5,11643.5,267520.37
2020-08-24,11644.3,11825.4,11120.0,11711.3,213289.2
2020-08-31,11711.4,12058.0,9817.9,10256.7,392382.19
2020-09-07,10258.0,10580.0,9843.3,10330.3,207370.12
2020-09-14,10330.3,11186.0,10239.6,10920.5,210698.27
2020-09-21,10918.1,10985.0,10136.2,10770.0,207034.41
2020-09-28,10770.8,10958.0,10379.2,10665.3,174069.56
2020-10-05,10664.9,11497.3,10524.2,11370.4,151951.24
2020-10-12,11370.4,11740.0,11161.1,11497.5,182858.0
2020-10-19,11496.0,13358.5,11408.0,13019.1,261557.14
2020-10-26,13019.1,14100.0,12760.0,13754.1,328183.36
2020-11-02,13754.1,15950.0,13152.7,15465.1,359593.0
2020-11-09,15464.7,16458.9,14824.0,15921.0,223069.77
2020-11-16,15923.1,18959.9,15839.5,18416.1,354841.88
2020-11-23,18416.0,19531.9,16161.0,18182.1,342664.56
2020-11-30,18178.3,19947.4,18080.0,19369.7,263059.27
2020-12-07,19370.4,19432.3,17572.2,19174.3,203276.39
2020-12-14,19174.2,24323.4,19003.0,23467.2,315364.67
2020-12-21,23463.7,28423.4,21880.0,26297.5,316933.87
2020-12-28,26297.4,34844.5,25900.6,33022.4,279203.84
